epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38909,2.35002,3.00991,2.27494,0.00564,0.95652,0.03427,0.01459,1.88583,3.22796,2.2712,0,0,0
2,8.26309,2.27907,3.15371,2.09573,0.0059,1,0.03475,0.01494,1.86367,3.23088,2.23538,1.9802e-05,1.9802e-05,1.9802e-05
3,8.87909,2.01194,2.93456,1.94177,0.0059,1,0.03361,0.01529,1.85339,3.23058,2.21666,3.9208e-05,3.9208e-05,3.9208e-05
4,9.43609,1.97319,2.95244,1.97176,0.00538,0.91304,0.03195,0.01457,1.86726,3.20432,2.23398,5.8218e-05,5.8218e-05,5.8218e-05
5,9.93509,2.20829,3.09199,2.16726,0.00538,0.91304,0.03452,0.01458,1.87961,3.18939,2.24833,7.6832e-05,7.6832e-05,7.6832e-05
6,10.5521,2.25266,3.19849,2.10271,0.00564,0.95652,0.14333,0.0748,1.64372,3.18175,1.98811,9.505e-05,9.505e-05,9.505e-05
7,11.2321,1.69729,2.8848,1.73729,0.0059,1,0.30599,0.17872,1.59819,3.07739,1.87979,0.000112872,0.000112872,0.000112872
8,11.9621,1.70087,2.72848,1.8255,0.0059,1,0.43224,0.22241,1.56618,3.11854,1.80702,0.000130298,0.000130298,0.000130298
9,12.6711,1.64253,2.79161,1.60212,0.0059,1,0.45075,0.25618,1.47929,3.05311,1.77782,0.000147328,0.000147328,0.000147328
10,13.3581,1.60002,2.50899,1.63279,0.00538,0.91304,0.55104,0.30419,1.44721,3.06545,1.72192,0.000163962,0.000163962,0.000163962
11,13.9871,1.60762,2.20285,1.60245,0.0059,1,0.52366,0.32478,1.39746,3.03784,1.67879,0.0001802,0.0001802,0.0001802
12,14.6481,1.49782,1.9576,1.56256,0.00564,0.95652,0.59822,0.36633,1.26136,2.95529,1.58999,0.000196042,0.000196042,0.000196042
13,15.3211,1.43375,1.91989,1.39394,0.00564,0.95652,0.59549,0.35793,1.16432,2.93528,1.52798,0.000211488,0.000211488,0.000211488
14,15.9381,1.41263,1.73291,1.47972,0.0059,1,0.65461,0.36953,1.24115,2.87727,1.52654,0.000226538,0.000226538,0.000226538
15,16.5611,1.34393,1.80645,1.48497,0.0059,1,0.67858,0.3881,1.16485,2.81835,1.44587,0.000241192,0.000241192,0.000241192
16,17.1781,1.59382,2.04505,1.63014,0.00564,0.95652,0.70539,0.40745,1.09368,2.80101,1.36229,0.00025545,0.00025545,0.00025545
17,17.7921,1.27485,1.53974,1.40865,0.00564,0.95652,0.76073,0.40849,1.10702,2.8047,1.37547,0.000269312,0.000269312,0.000269312
18,18.3861,1.18954,2.09911,1.43678,0.00564,0.95652,0.76073,0.40849,1.10702,2.8047,1.37547,0.000282778,0.000282778,0.000282778
19,19.0021,1.35126,1.57308,1.41728,0.00564,0.95652,0.71346,0.3986,1.15373,2.73956,1.36619,0.000295848,0.000295848,0.000295848
20,19.5871,1.30734,1.71485,1.41214,0.00564,0.95652,0.71346,0.3986,1.15373,2.73956,1.36619,0.000308522,0.000308522,0.000308522
21,20.2071,1.48131,1.86401,1.55576,0.0059,1,0.70819,0.39191,1.13605,2.73029,1.35087,0.0003208,0.0003208,0.0003208
22,20.7881,1.16699,1.60013,1.40423,0.0059,1,0.70819,0.39191,1.13605,2.73029,1.35087,0.000332682,0.000332682,0.000332682
23,21.4051,1.25027,1.80738,1.34538,0.0059,1,0.76045,0.43115,1.10554,2.63457,1.32105,0.000344168,0.000344168,0.000344168
24,21.9961,1.16688,1.53663,1.34284,0.0059,1,0.76045,0.43115,1.10554,2.63457,1.32105,0.000355258,0.000355258,0.000355258
